NAME             VERSION  TYPE                 
af_alg           UNKNOWN  linux-kernel-module  
algif_rng        UNKNOWN  linux-kernel-module  
bash             5.2.21   binary               
busybox          1.36.1   binary               
curl             8.7.1    binary               
decorator        5.1.1    python               
ip6_tables       UNKNOWN  linux-kernel-module  
ip6table_filter  UNKNOWN  linux-kernel-module  
ip_tables        UNKNOWN  linux-kernel-module  
iptable_filter   UNKNOWN  linux-kernel-module  
iptable_mangle   UNKNOWN  linux-kernel-module  
iptable_nat      UNKNOWN  linux-kernel-module  
ipv6             UNKNOWN  linux-kernel-module  
ipy              1.1      python               
libcrc32c        UNKNOWN  linux-kernel-module  
networkx         3.1      python               
nf_conntrack     UNKNOWN  linux-kernel-module  
nf_defrag_ipv4   UNKNOWN  linux-kernel-module  
nf_defrag_ipv6   UNKNOWN  linux-kernel-module  
nf_nat           UNKNOWN  linux-kernel-module  
nf_reject_ipv4   UNKNOWN  linux-kernel-module  
nfnetlink        UNKNOWN  linux-kernel-module  
openssl          3.5.5    binary               
python           3.12.12  binary               
selinux          3.7      python               
sepolicy         3.7      python               
setools          4.5.1    python               
setuptools       69.1.1   python               
x_tables         UNKNOWN  linux-kernel-module  
xt_conntrack     UNKNOWN  linux-kernel-module  
xt_state         UNKNOWN  linux-kernel-module  
xt_tcpudp        UNKNOWN  linux-kernel-module  
